nombre_jugador,año,juegos,goles,goles_sin_penalti,tiros,asistencias,tarjetas_amarillas,tarjetas_rojas,posicion,nombre_equipo,tiempo,tarjetas_totales
Ollie Watkins,2020,9,6,5,22,1,0,0,F,Aston Villa,810,0
Jack Grealish,2020,9,5,5,26,5,2,0,F M,Aston Villa,810,2
Ross Barkley,2020,6,2,2,17,1,0,0,M,Aston Villa,454,0
Tyrone Mings,2020,9,2,2,7,1,2,0,D,Aston Villa,810,2
Ezri Konsa Ngoyo,2020,9,2,2,7,0,0,0,D,Aston Villa,810,0
Conor Hourihane,2020,4,1,1,5,1,0,0,M S,Aston Villa,236,0
John McGinn,2020,9,1,1,10,4,3,0,M,Aston Villa,810,3
Bertrand Traoré,2020,7,0,0,5,1,0,0,M S,Aston Villa,147,0
Matt Targett,2020,9,0,0,3,0,3,0,D,Aston Villa,810,3
Keinan Davis,2020,1,0,0,0,0,0,0,S,Aston Villa,24,0
Ahmed Elmohamady,2020,3,0,0,0,0,0,0,S,Aston Villa,30,0
Emiliano Martinez,2020,9,0,0,0,0,0,0,GK,Aston Villa,810,0
Anwar El Ghazi,2020,3,0,0,0,0,0,0,S,Aston Villa,31,0
Douglas Luiz,2020,9,0,0,8,1,2,0,M,Aston Villa,789,2
Trézéguet,2020,9,0,0,22,1,0,0,F M S,Aston Villa,735,0
Marvelous Nakamba,2020,2,0,0,1,0,1,0,S,Aston Villa,8,1
Matthew Cash,2020,9,0,0,2,1,4,0,D,Aston Villa,780,4
Jacob Ramsey,2020,1,0,0,0,0,0,0,S,Aston Villa,9,0
Dominic Calvert-Lewin,2020,11,11,11,36,0,1,0,F,Everton,973,1
James Rodríguez,2020,10,3,3,22,3,1,0,F,Everton,861,1
Michael Keane,2020,11,2,2,5,0,0,0,D,Everton,990,0
Abdoulaye Doucouré,2020,11,1,1,10,1,3,0,M,Everton,922,3
Richarlison,2020,8,1,0,25,3,1,1,F,Everton,642,2
Yerry Mina,2020,9,1,1,3,0,1,0,D,Everton,810,1
Bernard,2020,4,1,1,2,0,1,0,F S,Everton,168,1
Alex Iwobi,2020,10,0,0,2,1,0,0,D F S,Everton,420,0
Theo Walcott,2020,1,0,0,0,0,0,0,S,Everton,10,0
Seamus Coleman,2020,6,0,0,2,1,0,0,D,Everton,450,0
Gylfi Sigurdsson,2020,10,0,0,8,1,0,0,M S,Everton,396,0
Jordan Pickford,2020,10,0,0,0,0,0,0,GK,Everton,900,0
Fabian Delph,2020,5,0,0,1,0,0,0,D M S,Everton,206,0
Mason Holgate,2020,2,0,0,1,0,1,0,D,Everton,174,1
Tom Davies,2020,5,0,0,0,0,0,0,D M S,Everton,169,0
Jonjoe Kenny,2020,1,0,0,0,0,0,0,D,Everton,78,0
Moise Kean,2020,2,0,0,1,0,0,0,S,Everton,10,0
Allan,2020,10,0,0,4,0,4,0,M,Everton,900,4
Lucas Digne,2020,8,0,0,3,4,0,1,D,Everton,703,1
André Gomes,2020,7,0,0,3,0,1,0,M S,Everton,457,1
Cenk Tosun,2020,3,0,0,0,0,2,0,S,Everton,27,2
Robin Olsen,2020,1,0,0,0,0,0,0,GK,Everton,90,0
Ben Godfrey,2020,5,0,0,0,0,0,0,D S,Everton,420,0
Niels Nkounkou,2020,1,0,0,1,0,1,0,D,Everton,70,1
Anthony Gordon,2020,1,0,0,0,0,0,0,S,Everton,31,0
Danny Ings,2020,8,6,4,17,2,0,0,F S,Southampton,669,0
James Ward-Prowse,2020,11,4,4,10,3,2,0,M,Southampton,990,2
Jannik Vestergaard,2020,10,3,3,5,0,0,0,D S,Southampton,852,0
Che Adams,2020,11,3,3,20,3,1,0,F,Southampton,961,1
Theo Walcott,2020,6,1,1,14,2,0,0,F M,Southampton,519,0
Oriol Romeu,2020,11,1,1,9,0,4,0,M,Southampton,957,4
Jan Bednarek,2020,11,1,1,5,0,0,0,D,Southampton,905,0
Stuart Armstrong,2020,9,1,1,11,2,0,0,M,Southampton,788,0
Moussa Djenepo,2020,8,1,1,8,0,2,0,M S,Southampton,512,2
Alex McCarthy,2020,11,0,0,0,0,1,0,GK,Southampton,990,1
Nathan Redmond,2020,6,0,0,7,0,0,0,M S,Southampton,328,0
Ryan Bertrand,2020,10,0,0,2,0,1,0,D,Southampton,890,1
Shane Long,2020,8,0,0,1,0,0,0,S,Southampton,47,0
Kyle Walker-Peters,2020,11,0,0,6,1,3,0,D,Southampton,990,3
Jack Stephens,2020,4,0,0,1,0,1,0,D S,Southampton,313,1
Michael Obafemi,2020,1,0,0,0,0,0,0,S,Southampton,12,0
Ibrahima Diallo,2020,5,0,0,0,0,1,0,S,Southampton,16,1
Daniel N&#039;Lundulu,2020,2,0,0,0,0,0,0,S,Southampton,2,0
William Smallbone,2020,2,0,0,0,0,0,0,M S,Southampton,111,0
Nathan Tella,2020,3,0,0,1,0,0,0,S,Southampton,42,0
Jamie Vardy,2020,10,9,4,23,2,1,0,F S,Leicester,829,1
Youri Tielemans,2020,11,3,1,14,0,3,0,M,Leicester,990,3
Harvey Barnes,2020,10,3,3,23,1,0,0,F M S,Leicester,720,0
Ayoze Pérez,2020,5,1,1,8,0,1,0,F M,Leicester,358,1
Dennis Praet,2020,10,1,1,6,1,0,0,M S,Leicester,584,0
Timothy Castagne,2020,6,1,1,2,2,1,0,D,Leicester,540,1
James Maddison,2020,10,1,1,13,1,2,0,M S,Leicester,538,2
James Justin,2020,11,1,1,5,0,2,0,D,Leicester,990,2
Kelechi Iheanacho,2020,5,0,0,5,0,0,0,F S,Leicester,140,0
Kasper Schmeichel,2020,11,0,0,0,0,0,0,GK,Leicester,990,0
Wes Morgan,2020,3,0,0,0,0,0,0,S,Leicester,13,0
Christian Fuchs,2020,7,0,0,3,0,2,0,D S,Leicester,523,2
Marc Albrighton,2020,7,0,0,3,0,0,0,D S,Leicester,342,0
Daniel Amartey,2020,2,0,0,0,0,1,0,D,Leicester,146,1
Jonny Evans,2020,8,0,0,1,0,4,0,D,Leicester,710,4
Islam Slimani,2020,1,0,0,1,0,0,0,S,Leicester,17,0
Nampalys Mendy,2020,11,0,0,1,1,3,0,M,Leicester,943,3
Caglar Söyüncü,2020,4,0,0,2,0,1,0,D,Leicester,360,1
Wilfred Ndidi,2020,3,0,0,0,0,0,0,D S,Leicester,199,0
Cengiz Ünder,2020,5,0,0,2,2,0,0,S,Leicester,134,0
Hamza Choudhury,2020,2,0,0,0,0,0,0,S,Leicester,11,0
Wesley Fofana,2020,7,0,0,2,0,2,0,D,Leicester,630,2
Luke Thomas,2020,3,0,0,1,0,1,0,D,Leicester,186,1
Callum Robinson,2020,11,2,2,11,0,0,0,F S,West Bromwich Albion,541,0
Conor Gallagher,2020,7,2,2,10,0,3,0,M,West Bromwich Albion,630,3
Kyle Bartley,2020,8,1,1,6,0,1,0,D,West Bromwich Albion,720,1
Grady Diangana,2020,10,1,1,10,0,0,0,F M S,West Bromwich Albion,707,0
Matheus Pereira,2020,10,1,1,17,2,1,1,M,West Bromwich Albion,795,2
Karlan Grant,2020,7,1,1,11,0,0,0,F,West Bromwich Albion,539,0
Kieran Gibbs,2020,2,0,0,0,0,0,1,D,West Bromwich Albion,135,1
Branislav Ivanovic,2020,6,0,0,4,0,1,0,D,West Bromwich Albion,530,1
Sam Johnstone,2020,11,0,0,0,0,0,0,GK,West Bromwich Albion,990,0
Sam Field,2020,3,0,0,0,0,0,0,S,West Bromwich Albion,56,0
Jake Livermore,2020,8,0,0,4,0,2,0,M,West Bromwich Albion,662,2
Matt Phillips,2020,8,0,0,2,0,1,0,M S,West Bromwich Albion,162,1
Hal Robson-Kanu,2020,5,0,0,4,0,0,0,S,West Bromwich Albion,130,0
Ahmed Hegazy,2020,1,0,0,0,0,0,0,D,West Bromwich Albion,90,0
Darnell Furlong,2020,10,0,0,9,2,1,0,D M,West Bromwich Albion,880,1
Semi Ajayi,2020,10,0,0,0,0,1,0,D,West Bromwich Albion,900,1
Rekeem Harper,2020,1,0,0,0,0,0,0,S,West Bromwich Albion,20,0
Dara O&#039;Shea,2020,6,0,0,2,0,0,0,D S,West Bromwich Albion,458,0
Romaine Sawyers,2020,9,0,0,2,0,2,0,M S,West Bromwich Albion,606,2
Kyle Edwards,2020,5,0,0,2,0,0,0,M S,West Bromwich Albion,110,0
Conor Townsend,2020,8,0,0,3,0,0,0,D M,West Bromwich Albion,707,0
Filip Krovinovic,2020,8,0,0,7,0,0,0,M S,West Bromwich Albion,423,0
Wilfried Zaha,2020,9,7,5,24,2,2,0,F,Crystal Palace,803,2
Christian Benteke,2020,7,2,2,10,0,0,0,F S,Crystal Palace,138,0
Scott Dann,2020,6,1,1,2,0,1,0,D,Crystal Palace,540,1
Cheikhou Kouyaté,2020,11,1,1,7,0,0,0,D M,Crystal Palace,990,0
Jordan Ayew,2020,9,1,1,8,0,0,0,F S,Crystal Palace,611,0
Andros Townsend,2020,10,1,1,11,2,0,0,M,Crystal Palace,845,0
Jairo Riedewald,2020,9,1,1,2,0,0,0,M S,Crystal Palace,467,0
Eberechi Eze,2020,10,1,1,10,2,0,0,M S,Crystal Palace,583,0
Mamadou Sakho,2020,4,0,0,1,0,0,0,D S,Crystal Palace,274,0
Joel Ward,2020,5,0,0,0,0,2,0,D,Crystal Palace,450,2
James McCarthy,2020,5,0,0,1,0,1,0,M S,Crystal Palace,335,1
Nathaniel Clyne,2020,6,0,0,2,1,0,0,D,Crystal Palace,523,0
James McArthur,2020,9,0,0,4,1,3,0,M,Crystal Palace,771,3
Gary Cahill,2020,3,0,0,1,0,0,0,D,Crystal Palace,270,0
Patrick van Aanholt,2020,6,0,0,10,1,1,0,D S,Crystal Palace,467,1
Jeffrey Schlupp,2020,9,0,0,8,1,2,0,M S,Crystal Palace,602,2
Michy Batshuayi,2020,8,0,0,7,1,0,0,F S,Crystal Palace,380,0
Vicente Guaita,2020,11,0,0,0,0,2,0,GK,Crystal Palace,990,2
Luka Milivojevic,2020,7,0,0,3,0,1,1,M S,Crystal Palace,311,2
Tyrick Mitchell,2020,6,0,0,1,0,1,0,D,Crystal Palace,540,1
Timo Werner,2020,11,4,4,28,3,0,0,F M,Chelsea,943,0
Kurt Zouma,2020,10,4,4,8,0,1,0,D,Chelsea,900,1
Tammy Abraham,2020,10,3,3,22,1,0,0,F S,Chelsea,555,0
Jorginho,2020,7,3,0,6,1,0,0,M S,Chelsea,459,0
Ben Chilwell,2020,8,2,2,9,2,1,0,D,Chelsea,713,1
Olivier Giroud,2020,6,1,1,7,0,0,0,F S,Chelsea,122,0
Christian Pulisic,2020,5,1,1,9,0,0,0,M S,Chelsea,253,0
Thiago Silva,2020,7,1,1,2,0,0,0,D,Chelsea,615,0
Kai Havertz,2020,9,1,1,7,1,1,0,F M S,Chelsea,637,1
Callum Hudson-Odoi,2020,5,1,1,5,0,0,0,M S,Chelsea,161,0
Mason Mount,2020,10,1,1,22,2,1,0,F M S,Chelsea,811,1
Reece James,2020,10,1,1,9,2,2,0,D S,Chelsea,811,2
Hakim Ziyech,2020,7,1,1,8,3,1,0,F S,Chelsea,389,1
Andreas Christensen,2020,4,0,0,1,0,1,1,D,Chelsea,315,2
Ross Barkley,2020,2,0,0,1,0,0,0,S,Chelsea,35,0
Willy Caballero,2020,1,0,0,0,0,0,0,GK,Chelsea,90,0
César Azpilicueta,2020,5,0,0,2,1,1,0,D S,Chelsea,313,1
Ruben Loftus-Cheek,2020,1,0,0,0,0,0,0,F,Chelsea,65,0
Fikayo Tomori,2020,1,0,0,0,0,0,0,S,Chelsea,43,0
N&#039;Golo Kanté,2020,11,0,0,2,1,1,0,M,Chelsea,984,1
Emerson,2020,1,0,0,0,0,0,0,S,Chelsea,7,0
Marcos Alonso,2020,3,0,0,2,0,1,0,D,Chelsea,228,1
Antonio Rüdiger,2020,1,0,0,0,0,0,0,D,Chelsea,90,0
Mateo Kovacic,2020,7,0,0,5,1,0,0,M S,Chelsea,407,0
Kepa,2020,3,0,0,0,0,0,0,GK,Chelsea,270,0
Edouard Mendy,2020,7,0,0,0,0,0,0,GK,Chelsea,630,0
Jarrod Bowen,2020,11,4,4,27,1,0,0,F M,West Ham,921,0
Michail Antonio,2020,7,3,3,18,0,1,0,F,West Ham,537,1
Pablo Fornals,2020,11,2,2,17,2,2,0,F M,West Ham,910,2
Sébastien Haller,2020,10,2,2,13,0,0,0,F S,West Ham,434,0
Tomas Soucek,2020,11,2,2,22,0,1,0,M,West Ham,990,1
Angelo Ogbonna,2020,11,1,1,5,0,2,0,D,West Ham,963,2
Manuel Lanzini,2020,5,1,1,2,0,1,0,S,West Ham,57,1
Fabián Balbuena,2020,9,1,1,5,0,1,0,D,West Ham,810,1
Mark Noble,2020,5,0,0,0,0,0,0,M S,West Ham,81,0
Aaron Cresswell,2020,11,0,0,4,3,0,0,D,West Ham,990,0
Lukasz Fabianski,2020,11,0,0,0,0,0,0,GK,West Ham,990,0
Felipe Anderson,2020,2,0,0,0,0,0,0,S,West Ham,2,0
Robert Snodgrass,2020,1,0,0,0,0,0,0,S,West Ham,1,0
Arthur Masuaku,2020,10,0,0,6,1,1,0,D,West Ham,857,1
Issa Diop,2020,3,0,0,0,0,1,0,D S,West Ham,207,1
Said Benrahma,2020,4,0,0,5,2,0,0,S,West Ham,76,0
Declan Rice,2020,11,0,0,6,1,1,0,M,West Ham,990,1
Andriy Yarmolenko,2020,5,0,0,4,0,1,0,S,West Ham,90,1
Ben Johnson,2020,2,0,0,0,0,0,0,S,West Ham,44,0
Ryan Fredericks,2020,3,0,0,0,1,2,0,D,West Ham,230,2
Vladimir Coufal,2020,8,0,0,3,1,2,0,D,West Ham,716,2
Son Heung-Min,2020,11,10,10,21,3,0,0,F M,Tottenham,925,0
Harry Kane,2020,11,8,6,42,10,1,0,F,Tottenham,987,1
Gareth Bale,2020,3,1,1,6,0,0,0,M S,Tottenham,111,0
Lucas Moura,2020,10,1,1,5,0,0,0,F M S,Tottenham,372,0
Serge Aurier,2020,5,1,1,5,1,0,0,D,Tottenham,450,0
Giovani Lo Celso,2020,8,1,1,9,0,2,0,M S,Tottenham,297,2
Tanguy NDombele Alvaro,2020,10,1,1,4,1,2,0,M S,Tottenham,567,2
Pierre-Emile Højbjerg,2020,11,0,0,3,1,1,0,M,Tottenham,990,1
Hugo Lloris,2020,11,0,0,0,0,0,0,GK,Tottenham,990,0
Toby Alderweireld,2020,7,0,0,1,0,0,0,D,Tottenham,623,0
Eric Dier,2020,10,0,0,3,0,0,0,D,Tottenham,900,0
Erik Lamela,2020,5,0,0,8,0,1,0,F M S,Tottenham,188,1
Dele Alli,2020,2,0,0,2,0,0,0,M S,Tottenham,64,0
Ben Davies,2020,8,0,0,1,0,0,0,D S,Tottenham,393,0
Moussa Sissoko,2020,9,0,0,0,0,1,0,M S,Tottenham,754,1
Harry Winks,2020,4,0,0,0,0,1,0,M S,Tottenham,255,1
Davinson Sánchez,2020,4,0,0,3,0,0,0,D,Tottenham,360,0
Joe Rodon,2020,4,0,0,0,0,0,0,D S,Tottenham,99,0
Matt Doherty,2020,6,0,0,1,1,1,0,D,Tottenham,526,1
Sergio Reguilón,2020,7,0,0,6,2,2,0,D,Tottenham,630,2
Carlos Vinicius,2020,1,0,0,2,0,0,0,S,Tottenham,10,0
Steven Bergwijn,2020,7,0,0,4,0,1,0,M S,Tottenham,403,1
Alexandre Lacazette,2020,9,3,3,13,0,2,0,F S,Arsenal,586,2
Pierre-Emerick Aubameyang,2020,11,2,1,20,1,2,0,F,Arsenal,987,2
Gabriel,2020,10,2,2,7,0,1,0,D,Arsenal,900,1
Nicolas Pepe,2020,8,1,1,8,0,0,1,F M S,Arsenal,270,1
Eddie Nketiah,2020,9,1,1,3,0,0,0,F S,Arsenal,151,0
Bukayo Saka,2020,9,1,1,16,0,0,0,D F M S,Arsenal,728,0
Bernd Leno,2020,11,0,0,0,0,0,0,GK,Arsenal,990,0
Granit Xhaka,2020,9,0,0,6,0,2,0,D M S,Arsenal,683,2
Sead Kolasinac,2020,1,0,0,0,0,0,0,D,Arsenal,90,0
Héctor Bellerín,2020,11,0,0,2,2,4,0,D,Arsenal,976,4
Mohamed Elneny,2020,5,0,0,3,0,0,0,M,Arsenal,450,0
Willian,2020,10,0,0,7,3,0,0,F M,Arsenal,736,0
David Luiz,2020,6,0,0,3,0,0,0,D S,Arsenal,378,0
Shkodran Mustafi,2020,2,0,0,0,0,0,0,S,Arsenal,42,0
Rob Holding,2020,8,0,0,2,0,2,0,D S,Arsenal,664,2
Ainsley Maitland-Niles,2020,5,0,0,1,0,0,0,D S,Arsenal,187,0
Thomas Partey,2020,5,0,0,5,0,1,0,M S,Arsenal,281,1
Dani Ceballos,2020,10,0,0,4,1,1,0,M S,Arsenal,656,1
Reiss Nelson,2020,2,0,0,1,0,0,0,S,Arsenal,59,0
Joe Willock,2020,2,0,0,1,0,0,0,M,Arsenal,147,0
Kieran Tierney,2020,10,0,0,4,0,1,0,D,Arsenal,893,1
Callum Wilson,2020,9,7,4,18,2,1,0,F,Newcastle United,793,1
Joelinton,2020,9,1,1,12,1,2,0,F M S,Newcastle United,483,2
Allan Saint-Maximin,2020,8,1,1,7,1,0,0,F M,Newcastle United,595,0
Jeff Hendrick,2020,9,1,1,7,1,0,0,M,Newcastle United,769,0
Jacob Murphy,2020,5,1,1,6,0,2,0,D M S,Newcastle United,363,2
Fabian Schär,2020,7,0,0,1,0,0,0,D S,Newcastle United,411,0
Matt Ritchie,2020,2,0,0,2,0,0,0,D S,Newcastle United,93,0
Andy Carroll,2020,7,0,0,6,0,0,0,F S,Newcastle United,179,0
Federico Fernández,2020,10,0,0,0,0,2,0,D,Newcastle United,900,2
Jamaal Lascelles,2020,8,0,0,3,0,1,0,D,Newcastle United,676,1
Jonjo Shelvey,2020,6,0,0,10,0,2,0,M,Newcastle United,527,2
Karl Darlow,2020,10,0,0,0,0,0,0,GK,Newcastle United,900,0
Ciaran Clark,2020,2,0,0,0,0,0,0,D,Newcastle United,180,0
Emil Krafth,2020,2,0,0,0,0,1,0,D,Newcastle United,180,1
Ryan Fraser,2020,5,0,0,1,0,0,0,M S,Newcastle United,180,0
Javier Manquillo,2020,6,0,0,1,0,1,0,D S,Newcastle United,457,1
Isaac Hayden,2020,7,0,0,2,0,3,0,D M S,Newcastle United,508,3
Sean Longstaff,2020,7,0,0,5,0,2,0,M S,Newcastle United,372,2
Miguel Almirón,2020,9,0,0,4,1,1,0,M S,Newcastle United,481,1
Jamal Lewis,2020,10,0,0,1,0,3,0,D S,Newcastle United,828,3
Matthew Longstaff,2020,1,0,0,0,0,0,0,S,Newcastle United,28,0
Mohamed Salah,2020,10,9,5,38,2,0,0,F,Liverpool,876,0
Diogo Jota,2020,9,5,5,20,0,0,0,F M S,Liverpool,496,0
Sadio Mané,2020,10,4,4,32,1,2,0,F M S,Liverpool,825,2
Roberto Firmino,2020,11,2,2,21,2,1,0,F M,Liverpool,895,1
Joel Matip,2020,5,1,1,3,0,1,0,D S,Liverpool,361,1
Georginio Wijnaldum,2020,11,1,1,10,0,0,0,M S,Liverpool,901,0
Virgil van Dijk,2020,5,1,1,4,0,1,0,D,Liverpool,370,1
Andrew Robertson,2020,11,1,1,7,3,0,0,D,Liverpool,990,0
Thiago Alcántara,2020,2,0,0,3,0,0,0,M S,Liverpool,133,0
Divock Origi,2020,1,0,0,0,0,0,0,S,Liverpool,1,0
James Milner,2020,8,0,0,1,1,0,0,D M S,Liverpool,249,0
Adrián,2020,2,0,0,0,0,0,0,GK,Liverpool,180,0
Jordan Henderson,2020,8,0,0,7,1,0,0,M S,Liverpool,601,0
Xherdan Shaqiri,2020,2,0,0,0,1,0,0,S,Liverpool,46,0
Joseph Gomez,2020,7,0,0,0,0,0,0,D S,Liverpool,594,0
Alisson,2020,8,0,0,0,0,1,0,GK,Liverpool,720,1
Trent Alexander-Arnold,2020,9,0,0,13,1,1,0,D S,Liverpool,715,1
Fabinho,2020,9,0,0,2,0,1,0,D M S,Liverpool,750,1
Naby Keita,2020,6,0,0,7,0,0,0,M S,Liverpool,314,0
Curtis Jones,2020,6,0,0,3,0,0,0,M S,Liverpool,314,0
Caoimhin Kelleher,2020,1,0,0,0,0,0,0,GK,Liverpool,90,0
Neco Williams,2020,3,0,0,0,0,1,0,D S,Liverpool,155,1
Nathaniel Phillips,2020,2,0,0,0,0,0,0,D,Liverpool,180,0
Takumi Minamino,2020,6,0,0,3,0,0,0,M S,Liverpool,140,0
Riyad Mahrez,2020,8,4,4,22,1,0,0,F M,Manchester City,687,0
Raheem Sterling,2020,9,3,3,20,1,1,0,F M S,Manchester City,730,1
Kevin De Bruyne,2020,9,2,0,34,6,0,0,M S,Manchester City,741,0
Gabriel Jesus,2020,5,2,2,11,1,1,0,F,Manchester City,450,1
Phil Foden,2020,8,2,2,12,1,0,0,M S,Manchester City,423,0
Nathan Aké,2020,4,1,1,1,0,2,0,D S,Manchester City,288,2
Kyle Walker,2020,9,1,1,7,1,1,0,D,Manchester City,799,1
Benjamin Mendy,2020,5,1,1,2,0,2,0,D,Manchester City,432,2
Ferrán Torres,2020,7,1,1,14,1,1,0,F M S,Manchester City,402,1
Ilkay Gündogan,2020,6,0,0,4,0,0,0,M S,Manchester City,389,0
John Stones,2020,3,0,0,1,0,0,0,D,Manchester City,270,0
Fernandinho,2020,5,0,0,5,0,0,0,M S,Manchester City,196,0
Sergio Agüero,2020,2,0,0,1,0,0,0,F,Manchester City,113,0
João Cancelo,2020,6,0,0,4,1,1,0,D M,Manchester City,540,1
Rodri,2020,10,0,0,9,0,2,0,M,Manchester City,858,2
Aymeric Laporte,2020,4,0,0,2,0,1,0,D,Manchester City,360,1
Oleksandr Zinchenko,2020,1,0,0,0,0,0,0,S,Manchester City,11,0
Bernardo Silva,2020,6,0,0,3,0,0,0,M S,Manchester City,373,0
Ederson,2020,10,0,0,0,0,0,0,GK,Manchester City,900,0
Eric Garcia,2020,3,0,0,1,0,0,0,D S,Manchester City,198,0
Liam Delap,2020,1,0,0,1,0,0,0,S,Manchester City,39,0
Rúben Dias,2020,8,0,0,6,0,2,0,D,Manchester City,702,2
Bruno Fernandes,2020,10,7,4,30,4,2,0,M S,Manchester United,797,2
Marcus Rashford,2020,10,3,3,24,4,1,0,F M S,Manchester United,843,1
Edinson Cavani,2020,6,3,3,9,1,1,0,F S,Manchester United,165,1
Harry Maguire,2020,10,1,1,15,0,2,0,D,Manchester United,900,2
Paul Pogba,2020,8,1,1,6,0,0,0,M S,Manchester United,461,0
Aaron Wan-Bissaka,2020,9,1,1,2,0,0,0,D,Manchester United,810,0
Mason Greenwood,2020,7,1,1,15,0,1,0,F M S,Manchester United,415,1
Donny van de Beek,2020,8,1,1,1,0,0,0,M S,Manchester United,212,0
David de Gea,2020,9,0,0,0,0,0,0,GK,Manchester United,768,0
Timothy Fosu-Mensah,2020,1,0,0,1,0,1,0,D,Manchester United,85,1
Anthony Martial,2020,6,0,0,9,0,0,1,F M,Manchester United,446,1
Juan Mata,2020,5,0,0,3,2,0,0,M S,Manchester United,326,0
Odion Ighalo,2020,1,0,0,0,0,0,0,S,Manchester United,5,0
Nemanja Matic,2020,6,0,0,2,0,1,0,M S,Manchester United,348,1
Axel Tuanzebe,2020,1,0,0,0,0,0,0,S,Manchester United,19,0
Luke Shaw,2020,7,0,0,1,1,2,0,D,Manchester United,611,2
Eric Bailly,2020,2,0,0,0,0,1,0,D S,Manchester United,95,1
Alex Telles,2020,3,0,0,2,1,0,0,D,Manchester United,266,0
Scott McTominay,2020,8,0,0,6,0,0,0,M S,Manchester United,580,0
Daniel James,2020,3,0,0,6,0,1,0,M,Manchester United,188,1
Victor Lindelöf,2020,9,0,0,1,0,0,0,D,Manchester United,810,0
Fred,2020,8,0,0,6,0,3,0,M S,Manchester United,553,3
Dean Henderson,2020,2,0,0,0,0,0,0,GK S,Manchester United,132,0
Brandon Williams,2020,1,0,0,0,0,0,0,S,Manchester United,4,0
Chris Wood,2020,10,2,2,19,0,0,0,F,Burnley,874,0
Ashley Westwood,2020,10,1,1,3,1,1,0,M,Burnley,900,1
Robbie Brady,2020,6,1,1,4,0,0,0,M S,Burnley,270,0
Jimmy Dunne,2020,2,1,1,3,0,0,0,D,Burnley,180,0
Jay Rodriguez,2020,8,0,0,6,0,2,0,F M S,Burnley,407,2
Phil Bardsley,2020,3,0,0,3,0,2,0,D,Burnley,270,2
Erik Pieters,2020,4,0,0,1,0,0,0,D S,Burnley,168,0
Matej Vydra,2020,6,0,0,4,0,0,0,F S,Burnley,130,0
Matthew Lowton,2020,6,0,0,1,0,1,0,D,Burnley,540,1
Ben Mee,2020,4,0,0,1,0,0,0,D,Burnley,360,0
Johann Berg Gudmundsson,2020,4,0,0,4,0,0,0,M S,Burnley,242,0
James Tarkowski,2020,8,0,0,7,0,1,0,D,Burnley,720,1
Kevin Long,2020,6,0,0,1,0,2,0,D,Burnley,540,2
Ashley Barnes,2020,7,0,0,11,0,1,0,F M S,Burnley,490,1
Nick Pope,2020,9,0,0,0,0,0,0,GK,Burnley,810,0
Charlie Taylor,2020,10,0,0,1,0,1,0,D,Burnley,900,1
Dale Stephens,2020,3,0,0,2,0,0,0,M,Burnley,209,0
Dwight McNeil,2020,10,0,0,8,1,1,0,M,Burnley,900,1
Josh Benson,2020,2,0,0,2,0,0,0,M S,Burnley,91,0
Josh Brownhill,2020,9,0,0,9,0,1,0,M,Burnley,810,1
Bailey Peacock-Farrell,2020,1,0,0,0,0,0,0,GK,Burnley,90,0
Neal Maupay,2020,10,4,2,26,1,0,0,F M S,Brighton,761,0
Pascal Groß,2020,10,2,0,9,2,1,0,M S,Brighton,511,1
Solly March,2020,10,2,2,10,1,0,0,D M,Brighton,853,0
Danny Welbeck,2020,5,1,1,9,0,0,0,F S,Brighton,362,0
Yves Bissouma,2020,10,1,1,15,0,4,1,M,Brighton,900,5
Leandro Trossard,2020,9,1,1,18,1,1,0,F M S,Brighton,669,1
Aaron Connolly,2020,8,1,1,9,1,0,0,F S,Brighton,425,0
Tariq Lamptey,2020,10,1,1,6,1,2,1,D M,Brighton,824,3
Alexis Mac Allister,2020,3,1,1,1,0,0,0,S,Brighton,37,0
Adam Lallana,2020,10,0,0,6,1,0,0,M S,Brighton,526,0
Mat Ryan,2020,10,0,0,0,0,1,0,GK,Brighton,900,1
Bernardo,2020,1,0,0,0,0,0,0,S,Brighton,21,0
Lewis Dunk,2020,8,0,0,5,0,2,1,D,Brighton,720,3
Jayson Molumby,2020,1,0,0,0,0,0,0,S,Brighton,1,0
Alireza Jahanbakhsh,2020,6,0,0,4,1,1,0,S,Brighton,52,1
Ben White,2020,11,0,0,1,0,2,0,D M,Brighton,975,2
Dan Burn,2020,6,0,0,4,0,1,0,D S,Brighton,389,1
Adam Webster,2020,11,0,0,9,0,1,0,D,Brighton,990,1
Steven Alzate,2020,5,0,0,3,0,1,0,M S,Brighton,357,1
Joël Veltman,2020,7,0,0,0,0,1,0,D M S,Brighton,529,1
Robert Sánchez,2020,1,0,0,0,0,0,0,GK,Brighton,90,0
Bobby Reid,2020,10,3,3,11,0,3,0,D F M S,Fulham,615,3
Aleksandar Mitrovic,2020,10,2,1,31,2,2,0,F S,Fulham,687,2
Ademola Lookman,2020,8,2,2,20,1,1,0,F M S,Fulham,653,1
Ruben Loftus-Cheek,2020,6,1,1,5,0,1,0,F M S,Fulham,359,1
Ola Aina,2020,8,1,1,4,0,0,0,D,Fulham,720,0
Ivan Cavaleiro,2020,10,1,0,13,0,1,0,F M S,Fulham,700,1
Tom Cairney,2020,9,1,1,9,1,2,0,M S,Fulham,696,2
Josh Onomah,2020,2,0,0,0,0,0,0,M,Fulham,136,0
Harrison Reed,2020,8,0,0,3,1,2,0,M S,Fulham,553,2
